text,count,datasets,label
"Todays Vodafone numbers ending 7548 are selected to receive a Rs.2,00,000 award. If you have a match please call 8536074310 quoting claim code 4041 standard rates apply",2,"manual,synthetic",smishing
"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",2,"manual,synthetic",ham
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,2,"manual,synthetic",ham
Oh... Kay... On sat right?,2,"manual,synthetic",ham
"Oh... Icic... K lor, den meet other day...",2,"manual,synthetic",ham
"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",2,"manual,synthetic",ham
"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",2,"manual,synthetic",ham
Oh. U must have taken your REAL Valentine out shopping first.,2,"manual,synthetic",ham
"Oh, then your phone phoned me but it disconnected",2,"manual,synthetic",ham
"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me",2,"manual,synthetic",ham
Oh...i asked for fun. Haha...take care. ü,2,"manual,synthetic",ham
"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",2,"manual,synthetic",ham
Oh you got many responsibilities.,2,"manual,synthetic",ham
"Oh yes, why is it like torture watching england?",2,"manual,synthetic",ham
Oh yeah! And my diet just flew out the window,2,"manual,synthetic",ham
Oh yeah clearly it's my fault,2,"manual,synthetic",ham
Oh yeah I forgot. U can only take 2 out shopping at once.,2,"manual,synthetic",ham
Oh yah... We never cancel leh... Haha,2,"manual,synthetic",ham
Oh... Okie lor...We go on sat...,2,"manual,synthetic",ham
Oh:)as usual vijay film or its different?,2,"manual,synthetic",ham
